Week,Team1,Team2
1,Kansas City Chiefs,Buffalo Bills
1,Miami Dolphins,New England Patriots
1,Cincinnati Bengals,Baltimore Ravens
1,Cleveland Browns,Pittsburgh Steelers
2,Buffalo Bills,Miami Dolphins
2,Kansas City Chiefs,New England Patriots
2,Baltimore Ravens,Cincinnati Bengals
2,Pittsburgh Steelers,Cleveland Browns
3,Miami Dolphins,Kansas City Chiefs
3,New England Patriots,Buffalo Bills
3,Cincinnati Bengals,Cleveland Browns
3,Baltimore Ravens,Pittsburgh Steelers
4,Kansas City Chiefs,Cincinnati Bengals
4,Buffalo Bills,Baltimore Ravens
4,Miami Dolphins,Cleveland Browns
4,New England Patriots,Pittsburgh Steelers
5,Cincinnati Bengals,Buffalo Bills
5,Baltimore Ravens,Kansas City Chiefs
5,Cleveland Browns,New England Patriots
5,Pittsburgh Steelers,Miami Dolphins
